word,part_of_speech,definitions,examples,section,source
step,unknown,back soasto make way. Nag’ísul akú,,I,MotusDictionary
íswag,v,"/mag-, -un/to move over, to extend, to",,I,MotusDictionary
move,unknown,"away , to make room. Gin’íswag ku",,I,MotusDictionary
anglamésa,unknown,. Imoved thetable.,,I,MotusDictionary
ítik,n,duckling.,,I,MotusDictionary
itikíta,n,"trademark, label.",,I,MotusDictionary
ítlug,n,egg.,,I,MotusDictionary
itúm,adj,"black, dark, dark in complexion.",,I,MotusDictionary
íwag,n,"light, illumination.",,I,MotusDictionary
íwat,adj,"/ma-/ grave, seriously ill. I",,I,MotusDictionary
íya,unknown,"pr his, her, hers, its(third person singular",,I,MotusDictionary
iyá,unknown,pt specifier distinguishing particle used,,I,MotusDictionary
before,unknown,"orafter adeictic, noun orpronoun",,I,MotusDictionary
chosen,unknown,to beemphasized. Ákun líbro iná’ | íya. That book ismine. HILIGA YNON DICTIONAR Y,,I,MotusDictionary
1-la-,unknown,"va plural orgroup action affix, used",,L,MotusDictionary
tindáhan,unknown,. Thechildren went to thesto re,,L,MotusDictionary
2-la-,unknown,na plural noun formative affix when,,L,MotusDictionary
combined,unknown,with /mag-/. Mag’ulútud silá.,,L,MotusDictionary
3-la-,unknown,aa plural adjective formative affix. Mabúg’at,,L,MotusDictionary
areheavy,unknown,.,,L,MotusDictionary
repetitive,unknown,"orsocial action occurring in a | place. Halampángan iní. This isa | playground. | lá’aw v /mag-, -un/to watch, to observe, to look",,L,MotusDictionary
outofthewindow,unknown,. Naglá’aw angdalága,,L,MotusDictionary
saíyaharanísta,unknown,. Thelady looked outo f,,L,MotusDictionary
thewindow,unknown,to acknowledge her,,L,MotusDictionary
serenader,unknown,.,,L,MotusDictionary
labá,v,"/mag-, -an/of clothes, to wash.",,L,MotusDictionary
labábu,n,"lavabo, washbasin.",,L,MotusDictionary
lábag,v,"/-un/ to beagainst, to violate. Ginlábag | muangkasugu’án . Youdisobeyed the | rule.",,L,MotusDictionary
labáha,n,"razor blade, razor .",,L,MotusDictionary
labán,unknown,"con besides, except, moreover , furthermore.",,L,MotusDictionary
labatíba,n,enema.,,L,MotusDictionary
labáw,adv,"aside from, besides, more than.",,L,MotusDictionary
Naglabáw,unknown,angíyakamisún . Herslipwas | showing.,,L,MotusDictionary
labáy,v,"/mag-/ to gothrough, to pass by.",,L,MotusDictionary
labí,adv,"more than, exceedingly .",,L,MotusDictionary
ofthebanana,unknown,"plant. | láb’uk v /mag-, -un/to sip, to take adraught.",Nagláb’uk si Roméo sang tubá’ sa,L,MotusDictionary
tyénda,unknown,. Romeo to ok asipoftuba in the | sto re.,,L,MotusDictionary
labúgay,v,"/mag-, -un/to stir, to mixespecially | liquids.",,L,MotusDictionary
lábut,n,"business, concern.",,L,MotusDictionary
lábyug,v,"/mag-, -un/to hurl, to fling, to throw to a | fardistance. Ginlábyug kuangbatú. I",,L,MotusDictionary
hurled,unknown,"thesto ne. | laká’ adj /ma-/ scarce, rare, sometimes. HILIGA YNON DICTIONAR Y",,L,MotusDictionary
stepped,unknown,over Manuel.,,L,MotusDictionary
lakát,n,"trip, walk, business trip.",,L,MotusDictionary
lákbang,v,"/mag-, -an/to stride, to make abigstep.",,L,MotusDictionary
lakíp,v,"/-un/ to in clude, to enclose, to in sert.",,L,MotusDictionary
láklak,v,"/mag-, -un/to lapwith theto ngue.",,L,MotusDictionary
Ginláklak,unknown,sang bábuy angdamúg . thepig | atethefood.,,L,MotusDictionary
láktaw,v,"/mag-, -an/to pass over, to miss, to skip.",,L,MotusDictionary
láktud,v,"/mag-, -un/to take ashort cut. Ginláktud",,L,MotusDictionary
kuangdálan,unknown,. Imade ashort cut.,,L,MotusDictionary
ládlad,v,"/mag-, -un/to open, to spread, to unfold.",,L,MotusDictionary
Nagládlad,unknown,akúsang mantél . Ispread the,,L,MotusDictionary
table,unknown,"cloth. | lá’ga’ v /mag-, -un/to boil, to cook in water .",,L,MotusDictionary
lagabúng,v,"/mag-/ to fallto theground with aflop, to | rumble. Naglagabúng angsin",,L,MotusDictionary
rumbled,unknown,"when itfell. | lagári’ n saw, carpenter’s to ol.",,L,MotusDictionary
lagás,v,"/mag-, -un/to pursue, to runafter, to | chase.",,L,MotusDictionary
lagátik,n,"snap, clicking sound. L",,L,MotusDictionary
lagatúk,n,"snap, dullthud, dullsound.",,L,MotusDictionary
lágawlágaw,v,"/mag-/ to wander about, to roam around, | to stroll. Naglagáwlaǵaw akúsaplása . I",,L,MotusDictionary
strolled,unknown,"through thepark. | lágda’ n mark, sign, signature.",,L,MotusDictionary
lági,adv,"frequently , of ten.",,L,MotusDictionary
lágpit,n,rattrap.,,L,MotusDictionary
lágtum,adj,"/ma-/ black, dark.",,L,MotusDictionary
lagú,n,"earthworm. | lagú’ n soiled clothes, laundry .",,L,MotusDictionary
lagwérta,n,"lawn, yard, orchard. | lágyu’ adv far, atadistance.",,L,MotusDictionary
lahúg,n,"joke, teasing.",,L,MotusDictionary
lahúgláhug,n,"joke, teasing.",,L,MotusDictionary
lála,v,"/mag-, -un/to weave, to weave to gether .",,L,MotusDictionary
Naglála,unknown,akúsang baníg . Iwove amat. HILIGA YNON DICTIONAR Y,,L,MotusDictionary
laláki,n,"male, man, boy, male illicit lover .",,L,MotusDictionary
laláw,v,"/mag-/ to beinblack mourning dress, to",,L,MotusDictionary
wear,unknown,mourning clothes. Naglaláw siÁna | saíyailúy. Anamourned forhermother .,,L,MotusDictionary
lalím,n,flavor .,,L,MotusDictionary
lális,v,"/mag-, -an/to paynoheed to, to disobey . | lamá’lamá’ v /mag-, -un/to cutinto small pieces asof | ribs, to cutmeat with bones in to thin | pieces. Ginlamá’lamá’ kuanggúsuk . I | cuttheribs.",,L,MotusDictionary
lámang,unknown,"con but, on ly, mere, just. Lúyag akú",,L,MotusDictionary
magbakál,unknown,sang báyu ’lámang walá’ akú,,L,MotusDictionary
laḿbat,n,"net, woven rattan neto fnative beds.",,L,MotusDictionary
lámbut,v,"/ma-, -un/to reach, to arrive, to attain.",,L,MotusDictionary
Ginlámbut,unknown,kuangsyudád sang Báguio . I,,L,MotusDictionary
lamésa,n,table.,,L,MotusDictionary
laḿgud,adj,barren.,,L,MotusDictionary
lamíg,n,coldness.,,L,MotusDictionary
weather,unknown,andliquids.,,L,MotusDictionary
lamígas,n,"grain, cereal.",,L,MotusDictionary
lámluk,n,moth. L,,L,MotusDictionary
lampás,v,"/mag-, -an/to surpass, to overtake.",,L,MotusDictionary
Ginlampasán,unknown,kuangáwtu . Ioverto ok the | car.,,L,MotusDictionary
lampásu,n,"rag, mop, scrub.",,L,MotusDictionary
Naglampásu,unknown,akú. Imopped thefloor.,,L,MotusDictionary
lampín,n,baby’s diaper .,,L,MotusDictionary
lampitáw,adj,"well-known, famous. | lampú’as v /mag-, -un/to pass, to reach beyond and",,L,MotusDictionary
lámpus,v,"/mag-, -un/to hitsomeone with | something, to strike hard with an | in strument. Ginlámpus kuangsíya. I",,L,MotusDictionary
threw,unknown,thechair very hard on thefloor.,,L,MotusDictionary
lamúk,n,mosquito .,,L,MotusDictionary
lamúd,v,"/mag-, -un/to mixwith, to addto.",,L,MotusDictionary
Naglamúd,unknown,akúsang ma’ís sabugás . I,,L,MotusDictionary
lamún,n,blind.,,L,MotusDictionary
lámun,v,"/mag-, -un/to eatlikeananimal, to gulp",,L,MotusDictionary
lána,n,"wool, oilespecially coconut oil.",,L,MotusDictionary
lándung,n,"shade, shadow .",,L,MotusDictionary
lánsang,n,nail.,,L,MotusDictionary
lansítas,n,pocket knife.,,L,MotusDictionary
lánta,adj,"withered, faded asofplants andflowers. HILIGA YNON DICTIONAR Y",,L,MotusDictionary
lántaw,v,"/mag-, -un/to watch, to see, to look outo f",,L,MotusDictionary
lántun,n,"tune, song, music, music sheet.",,L,MotusDictionary
Naglántun,unknown,akúsang pyáno . Iplayed the,,L,MotusDictionary
piano,unknown,.,,L,MotusDictionary
lanúg,n,"echo, black andblue mark, rotten | portion.",,L,MotusDictionary
lányatlányat,n,membrane.,,L,MotusDictionary
láng,unknown,"pt on ly, also, just. Inínalang. This on e",,L,MotusDictionary
lángaw,n,fly. | lángka’ n jackfruit.,,L,MotusDictionary
lángkag,v,"/mag-, -un/to worry , to beanxious about.",,L,MotusDictionary
Naglángkag,unknown,akúsang hulát kay Joséfa . I,,L,MotusDictionary
gotworried,unknown,waiting for Josefa.,,L,MotusDictionary
lánggaw,n,vinegar .,,L,MotusDictionary
langís,n,"oil, especially coconut oil.",,L,MotusDictionary
lángit,n,"heaven, sky, outer space. | láng’ug adj /ma-/ rotten, foulodor of stagnant water .",,L,MotusDictionary
langúy,v,"/mag-, -un/to swim.",,L,MotusDictionary
lápak,v,"/mag-, -un/to trample on, to step on, to",,L,MotusDictionary
treat,unknown,with pride orcontempt. Naglápak,,L,MotusDictionary
silásalápuk,unknown,. They stepped on themud.,,L,MotusDictionary
lápad,n,"/ka-/ width, area, broadness. L",,L,MotusDictionary
lápas,v,"/mag-, -un/to violate, to disobey anorder .",,L,MotusDictionary
Naglápas,unknown,si José sakasugtánan . Jose,,L,MotusDictionary
violated,unknown,theagreement.,,L,MotusDictionary
lapáw,v,"/mag-, -an/to behigher than, to exceed,",,L,MotusDictionary
tooverflow,unknown,. Naglápaw angtúbig . The,,L,MotusDictionary
lápdus,v,"/mag-, -un/to hitwith astrong force, to",,L,MotusDictionary
beat,unknown,"with in tentions to destroy , to hit | hard. Ginlápdus kuangsíya. Ihitthe",,L,MotusDictionary
lápis,n,pencil.,,L,MotusDictionary
lapít,adj,"/ma-/ near, close, in timate.",,L,MotusDictionary
Manuél,unknown,. Manuel moved closer .,,L,MotusDictionary
lápnag,v,"/mag-, -an/to become extensive, to | spread, to propagate. Naglápnag ang",,L,MotusDictionary
balíta,unknown,’. Thenews spread.,,L,MotusDictionary
lápsag,n,"baby of ageoneto two, in fant. | lápsi’ adj /ma-/ frail, wan, pale, pallid.",,L,MotusDictionary
lápta,v,"/mag-, -an/to extend, to spread, to",,L,MotusDictionary
lápus,v,"/mag-/ to pierce, to penetrate, to go | through.",,L,MotusDictionary
lapúyut,adj,"/ma-/ sticky , thick in texture especially of | liquids. HILIGA YNON DICTIONAR Y",,L,MotusDictionary
lápyu,v,"/mag-, -un/to tire, to getexhausted.",,L,MotusDictionary
Naglápyu,unknown,angíyaláwas satrabáho . He,,L,MotusDictionary
felttired,unknown,because of work.,,L,MotusDictionary
laranghíta,n,nectarine.,,L,MotusDictionary
laráwan,n,picture.,,L,MotusDictionary
lárga,v,"/mag-/ to travel away on aboat, to sail",,L,MotusDictionary
lasáw,n,"molasses. | lás’ay adj /ma-/ bland in taste, unsavory .",,L,MotusDictionary
lásu,n,"ribbon, trimming.",,L,MotusDictionary
láta,n,"tin, can. | latá’ adj rotten, overcooked.",,L,MotusDictionary
látag,v,"/mag-, -un/to bleach, to puto utinthe | sun.",,L,MotusDictionary
látay,v,"/mag-, -an/to cross anarrow footbridge",,L,MotusDictionary
narrow,unknown,board. Naglátay kamí satuláy,,L,MotusDictionary
patabúk,unknown,sasubá ’. Wecrossed anarrow,,L,MotusDictionary
footbridge,unknown,across theriver.,,L,MotusDictionary
látid,v,"/mag-, -un/to line, to mark, to limit, to",,L,MotusDictionary
befenced,unknown,in.,,L,MotusDictionary
latigú,n,whip.,,L,MotusDictionary
latúk,n,table.,,L,MotusDictionary
látum,v,/mag-/ to penetrate to theinnermost | part. Naglátum angpínta sakáhuy . The,,L,MotusDictionary
paint,unknown,penetrated in to thewood. L,,L,MotusDictionary
latún,n,tincanwith avolume content of five | gallons.,,L,MotusDictionary
Naglatún,unknown,angtrangkásu ni Pédro sa,,L,MotusDictionary
prisohán,unknown,. Theperson to behanged is,,L,MotusDictionary
inside,unknown,"theprison. | lá’ut adj /ma-/ vile, bad, malicious, wicked. | láwa’ n spider web.",,L,MotusDictionary
láwag,v,"/mag-, -un/to pronounce, to callout.",,L,MotusDictionary
Ginláwag,unknown,angngálan ku. Myname was | called.,,L,MotusDictionary
láwas,n,"body, human body.;/tig-/ representative. | láw’ay adj /ma-/ ugly, of fensive, repulsive.",,L,MotusDictionary
láwid,n,"/ka-/ of distance, length.",,L,MotusDictionary
láwig,adj,"/ma-/ lengthy , wide, broad, extensive.",,L,MotusDictionary
láwlaw,adj,"loose about thewaist, of clothing, loose.",,L,MotusDictionary
láya,n,fishnet. HILIGA YNON DICTIONAR Y,,L,MotusDictionary
flowers,unknown,andplants.,,L,MotusDictionary
láyag,n,sailforaboat.,,L,MotusDictionary
láyas,v,"/mag-, -an/to runaway , to fleefrom, to",,L,MotusDictionary
goaway,unknown,"without permission, to runaway",,L,MotusDictionary
layát,v,/mag-/ to sagasofskin. Naglayát angíya,,L,MotusDictionary
láygay,v,"/mag-, -un/to advise, to talk, to lecture, | to preach. Nagláygay angpári’. The",,L,MotusDictionary
priest,unknown,gave some advice.,,L,MotusDictionary
layí,n,"law, bill. | layú’ n /ka-/ of distance, far.",,L,MotusDictionary
layúng,v,"/mag-, -un/to dryup, to wither .",,L,MotusDictionary
Naglayúng,unknown,angdáhun sang ságing . The,,L,MotusDictionary
leksyón,n,lesson.,,L,MotusDictionary
létse,n,volume measure amounting to on e,,L,MotusDictionary
eight-ounce,unknown,tincan.,,L,MotusDictionary
letse,n,"flán eggpie, custard.",,L,MotusDictionary
-li-,unknown,va variant of-la-.,,L,MotusDictionary
libák,v,"/mang-, -un/to backbite, to deride.",,L,MotusDictionary
Ginlibák,unknown,kusi Córa . Iderided Cora. L,,L,MotusDictionary
libańg,v,"/mag-, -un/to amuse, to entertain, to | comfort. Ginlibańg kuangbáta’. I",,L,MotusDictionary
comforted,unknown,thechild.,,L,MotusDictionary
libát,adj,cross-eyed.,,L,MotusDictionary
líbra,n,pound.,,L,MotusDictionary
líbre,adj,"free, gratis.",,L,MotusDictionary
libreríya,n,library .,,L,MotusDictionary
líbro,n,book.,,L,MotusDictionary
líbu,unknown,num thousand.,,L,MotusDictionary
líbud,v,"/mag-, -un/to peddle door to door, to go | around. Naglíbud angtigúlang sang",,L,MotusDictionary
súman,unknown,. Theoldwoman went around,,L,MotusDictionary
selling,unknown,ricecake.,,L,MotusDictionary
líbug,n,bumblebee.,,L,MotusDictionary
libúg,n,"trouble, problem, worry .",,L,MotusDictionary
libún,n,"enclosure, fence.",,L,MotusDictionary
Naglibún,unknown,akúsang kurtína sakwárto . I,,L,MotusDictionary
putcurtains,unknown,around theroom.,,L,MotusDictionary
líbut,v,"/mag-, -un/to walk about, to roam | around, to encircle.",,L,MotusDictionary
likáw,v,"/mag-, -an/to shun, to avoid, to deto ur .",,L,MotusDictionary
Naglikáw,unknown,angtrak sabátsi . Thetruck,,L,MotusDictionary
avoided,unknown,thehole in theroad.,,L,MotusDictionary
líkday,v,/mag-/ to step to on eside to allow,,L,MotusDictionary
líkido,n,"liquid. | líki’ v /mag-/ to bound, to spring, to leap with | grace. Naglikí’ siÍnday sasá’ut. Inday",,L,MotusDictionary
danced,unknown,gracefully .,,L,MotusDictionary
líksi,v,"/mag-, -un/to jump around, to leap. | likú’ v /mag-/ to turn thecorner , to turn astreet",,L,MotusDictionary
corner,unknown,.,,L,MotusDictionary
likúd,n,back.,,L,MotusDictionary
likúm,v,"/mag-, -un/to hide asecret, to conceal.",,L,MotusDictionary
Naglikúm,unknown,akúsang sekréto . Iconcealed | asecret.,,L,MotusDictionary
lígad,v,"/mag-/ to pass by, to bepart of thepast.",,L,MotusDictionary
Naglígad,unknown,naang Enéro péro walá’ pa,,L,MotusDictionary
matapús,unknown,angtrabáho ku. January is,,L,MotusDictionary
ligás,n,"garter , belt.",,L,MotusDictionary
lígdung,adj,"/ma-/ modest, serious, conservative.",,L,MotusDictionary
lígid,v,"/mag-/ to whirl, to roll, to turn over and | over. Naglígid angbatú sabánglid . The",,L,MotusDictionary
boulder,unknown,rolled down thehill.,,L,MotusDictionary
ligís,v,"/mag-, -un/to mill, to crush in to powder .",,L,MotusDictionary
Nagligís,unknown,akúsang má’is . Imilled some | corn. L,,L,MotusDictionary
theriver,unknown,"ortheocean. Nalígu’ akú. Ito ok | abath. | líg’un adj /ma-/ steady , stable, strong.",,L,MotusDictionary
ligúnlígun,v,"/mag-, -un/to letmelt, to swallow or",,L,MotusDictionary
dissolve,unknown,in themouth. Ginligúnlígun ku,,L,MotusDictionary
ligúy,adj,"negligent, truant.",,L,MotusDictionary
liháy,v,"/mag-, -un/to fallagainst forsupport, to",,L,MotusDictionary
lean,unknown,on. Nagliháy si Lucílle saákun .,,L,MotusDictionary
disapprove,unknown,of using narcotics.,,L,MotusDictionary
líla,adj,"violet, lavender .",,L,MotusDictionary
limá,unknown,num five; /ika-/ fifth.,,L,MotusDictionary
límbung,n,"lie, deceit.",,L,MotusDictionary
limitádo,adj,limited.,,L,MotusDictionary
limpyabúta,n,bootblack.,,L,MotusDictionary
límyo,adj,"clean, spotless, in order .",,L,MotusDictionary
límug,v,/mang-/ to gargle. Nanglímug si Ernésto,,L,MotusDictionary
limús,n,"alm, donation. HILIGA YNON DICTIONAR Y",,L,MotusDictionary
límut,v,"/ma-, ma-…-an/ to forget.",,L,MotusDictionary
linábhan,n,washed clothes.,,L,MotusDictionary
línas,v,"/mag-, -un/to thresh asofrice, to",,L,MotusDictionary
trample,unknown,upon. Naglínas kamísang,,L,MotusDictionary
humáy,unknown,. Wethreshed rice.,,L,MotusDictionary
línaw,n,"brook, stream.",,L,MotusDictionary
líntak,v,/mang-/ to emit aclicking sound.,,L,MotusDictionary
Nanglíntak,unknown,si Artúro saákun . Heclicked | atme.,,L,MotusDictionary
líntuk,n,bran.,,L,MotusDictionary
línug,n,earthquake.,,L,MotusDictionary
linúng,adj,"/ma-/ calm, silent, peaceful.",,L,MotusDictionary
língas,v,"/mag-/ to distract, to confuse, to upset, to",,L,MotusDictionary
kláse,unknown,. Vicente distracted theclass.,,L,MotusDictionary
lingáw,v,"/mag-, -un/to distract, to bother , to | amuse, to relax. Ginlingáw kuangákun | útud. Iamused mybrother .",,L,MotusDictionary
língkud,v,"/mag-, -an/to sitdown.",,L,MotusDictionary
linggánay,n,bell.,,L,MotusDictionary
línghud,adj,"/ma-/ of plants, young, new. L",,L,MotusDictionary
língin,adj,"/ma-/ dizzy , round.",,L,MotusDictionary
língling,v,"/mag-, -un/to peep through asmall hole,",,L,MotusDictionary
toobserve,unknown,secretly through anaperture.,,L,MotusDictionary
Naglíngling,unknown,si José. Jose peeped.,,L,MotusDictionary
lipák,n,"stick, small twig.",,L,MotusDictionary
lípas,v,/mag-/ to pass by asoftime. Naglípas,,L,MotusDictionary
angisákasemána,unknown,bágu nagkita’áy kamí .,,L,MotusDictionary
Oneweek,unknown,passed before wesaweach,,L,MotusDictionary
lipát,v,"/ma-, ma-…-an/ to forget, to losethe",,L,MotusDictionary
lípay,n,"/ka-/ happiness, joy, delight.",,L,MotusDictionary
happy,unknown,. Nalípay akúngatapús na. Iam,,L,MotusDictionary
glad,unknown,itisallover.,,L,MotusDictionary
lípun,v,"/mag-/ to screen, to conceal, to hide.",,L,MotusDictionary
Naglípun,unknown,si Heléna sang hábul . Helena,,L,MotusDictionary
hidunder,unknown,theblanket.,,L,MotusDictionary
lípung,v,"/ma-/ to faint, to fallunconscious. | líp’ut n /ka-/ shortness, brevity .",,L,MotusDictionary
lísang,v,"/mag-/ to beterrified, to befrightened, to | beshocked. Naglísang angkabáyu’ sa",,L,MotusDictionary
lupúk,unknown,. Thehorse wasterrified with the,,L,MotusDictionary
bursting,unknown,sound.,,L,MotusDictionary
lisénsya,n,"license, permission. HILIGA YNON DICTIONAR Y",,L,MotusDictionary
Naglisénsya,unknown,si Vída saíyailúynga,,L,MotusDictionary
malakát,unknown,. Vidaasked permission from her,,L,MotusDictionary
lísi,v,/mag-/ to look about curiously or,,L,MotusDictionary
searchingly,unknown,. Naglísi angbáta’ sadálan .,,L,MotusDictionary
lisík,v,/mag-/ to flylikechips of wood. Naglisík,,L,MotusDictionary
angkáhuy,unknown,pagbús’ak ku. Chips flew,,L,MotusDictionary
lísngadlísngad,v,"/mag-/ to linger , to tarry , to delay .",,L,MotusDictionary
Naglísngadlísngad,unknown,si Victória saíya,,L,MotusDictionary
lísta,n,"list, roll.",,L,MotusDictionary
lístun,n,"ribbon trimming, shoe string.",,L,MotusDictionary
lísu,n,"seed. | lísu’ v /mag-, -un/to turn about, to beawry.",Naglísu’ angtáwu satu’u. theman,L,MotusDictionary
lisúd,adj,"/ma-/ hard, difficult.",,L,MotusDictionary
litík,v,"/mag-/ to crack, to split, to have aflaw.",,L,MotusDictionary
Naglitík,unknown,angkúlun . Theclaypotcracked.,,L,MotusDictionary
lítra,n,letter of thealphabet.,,L,MotusDictionary
lítro,n,liter measure.,,L,MotusDictionary
litsúgas,n,lettuce.,,L,MotusDictionary
lítsun,n,whole pigroasted on livecoal pit. L,,L,MotusDictionary
lítun,v,"/mag-, -un/to migrate, to transfer , to | move. Naglítun kamí sabág’u ngabaláy .",,L,MotusDictionary
Wemoved,unknown,to thenew house. | lí’ug n neck.,,L,MotusDictionary
liwáliwá,v,"/magpa-/ to relax, to take avacation.",,L,MotusDictionary
Nagpaliwáliwá,unknown,silása Yurópa . They to ok,,L,MotusDictionary
avacation,unknown,in Europe.,,L,MotusDictionary
liwán,v,"/mag-, -un/to doagain, to repeat, to | remodel. Nagliwán siÉlma sang báyu’ | ku. Elma remodelled mydress.",,L,MotusDictionary
liwát,adv,"again, repeatedly .",,L,MotusDictionary
liyón,n,lion.,,L,MotusDictionary
lóbo,n,balloon.,,L,MotusDictionary
lólo,n,grandfather .,,L,MotusDictionary
lóte,n,"piece of land, lot.",,L,MotusDictionary
-lu-,unknown,"va variant of-la-. | lú’ad v /mag-, -un/to spito ut, to throw outo fthe | mouth. Ginlú’ad kuangpagká’un . Ispit | outthefood.",,L,MotusDictionary
lubád,v,"/mag-, -un/to solve, to translate, to | in terpret.",,L,MotusDictionary
lúbag,v,"/mag-, -un/to twist, to wring, to twist and | pull. | lúbha’ v /-un/ to cheat, to betray . Ginlúbha’ niya | akú. Hebetrayed me. HILIGA YNON DICTIONAR Y",,L,MotusDictionary
Naglubhá,unknown,’angíyabalatí’an . Hegot | worse.,,L,MotusDictionary
lubí,n,coconut.,,L,MotusDictionary
lúbid,n,"rope, string.",,L,MotusDictionary
rope,unknown,orstring.,,L,MotusDictionary
lubúg,adj,"/ma-/ murky , turbid.",,L,MotusDictionary
lubúng,n,"burial, crypt.",,L,MotusDictionary
lukát,v,"/mag-, -un/to pullordigoutto gether",,L,MotusDictionary
lúku,v,"/mag-, -un/to cheat, to trick. Ginlúku ku | siÉlsa. Itricked Elsa.",,L,MotusDictionary
lukú,v,"/mag-/ of dogs, to liedown with front legs",,L,MotusDictionary
bent,unknown,under . Naglukú angidú’. Thedog | laydown.,,L,MotusDictionary
lúksu,v,"/mag-, -un/to jump, to leap, to jump over.",,L,MotusDictionary
lúkut,v,"/mag-, -un/to wind up, to roll, to | crumple. Naglúkut akúsang papél . I",,L,MotusDictionary
crumpled,unknown,thepaper .,,L,MotusDictionary
lugár,n,"place, site, location. L",,L,MotusDictionary
lúgdang,v,"/ma-, -un/to sink, to disappear under the",,L,MotusDictionary
lúgpay,v,"/-an/ to mollify , to soothe, to counsel.",,L,MotusDictionary
Ginlugpayán,unknown,"kusi Líto. Imollified Lito. | lú’gu’ v /mag-, -un/to shake. Ginlú’hu ’kuang",,L,MotusDictionary
bulúng,unknown,sabotélya . Ishook themedicine | in thebottle.,,L,MotusDictionary
lugúm,n,dye.,,L,MotusDictionary
lúgus,v,"/mag-, -un/to force to submit, to violate, | to grab, to rape. Ginlúgus ni Glória ang",,L,MotusDictionary
lúhu,adj,"dressed up, elegant.",,L,MotusDictionary
luhúd,v,"/mag-, -an/to kneel down. | lulú’ adj /ma-/ gentle, kind, meek, tender .",,L,MotusDictionary
lumáy,n,"love potion, charm.",,L,MotusDictionary
togive,unknown,"alove potion. Ginlumáy sya. He | wasenticed. | lúmba’ n race, contest.",,L,MotusDictionary
lúming,adj,"/ma-/ flabby , feeble, limp.",,L,MotusDictionary
lúmpag,v,"/mag-, -un/to destroy , to demolish.",,L,MotusDictionary
Ginlúmpag,unknown,kuangbaláy . Idemolished | thehouse. HILIGA YNON DICTIONAR Y,,L,MotusDictionary
lúmpat,v,"/mag-, -un/to jump, to leap, to dive down.",,L,MotusDictionary
lumús,v,/ma-/ to drown. Nalumús angbáta’. The,,L,MotusDictionary
lúmut,n,moss.,,L,MotusDictionary
lumúy,v,"/mag-, -un/to putinto themouth and",,L,MotusDictionary
swallow,unknown,down asofapill. Naglumpúy,,L,MotusDictionary
Lúnes,n,Monday .,,L,MotusDictionary
lúnhaw,adj,green.,,L,MotusDictionary
lúntad,v,"/mag-/ to live, to reside, to emigrate.",,L,MotusDictionary
Naglúntad,unknown,akúdirísang iśakatú’ig. I,,L,MotusDictionary
moved,unknown,here lastyear.,,L,MotusDictionary
lúnsay,adv,"steady , stable.",,L,MotusDictionary
lúnud,v,"/ma-, -un/to beinferior to, to be | unbecoming, to sink. Nalúnud angbapór .",,L,MotusDictionary
Theboat,unknown,sank.,,L,MotusDictionary
lungíb,n,cave.,,L,MotusDictionary
lungún,n,"bier, crypt. | lunggú’ v /mag-, -un/to knock orpush against",,L,MotusDictionary
lungúlúngu,v,"/mag-, -un/to shake thehead for",,L,MotusDictionary
negation,unknown,ordisapproval. Naglungúlúngu | angsya. Heshook hishead.,,L,MotusDictionary
lupád,v,"/mag-, -un/to fly, to soar in theair.",,L,MotusDictionary
lúpig,v,"/mag-, -un/to oppress, to overpower , to",,L,MotusDictionary
side,unknown,with. Naglúpig si Manuél kay Mr.,,L,MotusDictionary
Rámos,unknown,. Manuel sided with Mr. Ramos.,,L,MotusDictionary
lupúk,v,"/mag-/ to burst, to blow-out, to erupt. L",,L,MotusDictionary
lupúg,adj,crippled. | lúp’ug v /mag-/ to sito rsquat down with legs,,L,MotusDictionary
lupút,v,"/mag-/ to have loose bowel movement, to",,L,MotusDictionary
lúpyak,v,/mag-/ to form asmall depression in the | ground. Naglúpyak angdúta’ salínug .,,L,MotusDictionary
Theground,unknown,caved in because of the | earthquake.,,L,MotusDictionary
lusád,v,"/mag-/ to alight, to land, to disembark.",,L,MotusDictionary
Naglusád,unknown,angtáwu saeropláno . Theman,,L,MotusDictionary
disembarked,unknown,"from theplane. | lús’aw adj faded, discolored.",,L,MotusDictionary
dress,unknown,ran.,,L,MotusDictionary
lúspad,adj,"/ma-/ wan, pale in face.",,L,MotusDictionary
lusút,v,"/mag-/ to emerge, to pass, to gothrough, | to pierce. Naglusút anglápis sapapél .",,L,MotusDictionary
Thepencil,unknown,went through to thepaper .,,L,MotusDictionary
luták,n,clay.,,L,MotusDictionary
lutás,v,"/mag-, -un/to wean, to detach affection",,L,MotusDictionary
forsomething,unknown,longed for.,,L,MotusDictionary
lutáw,adj,"famous, big, afloat, popular .",,L,MotusDictionary
lúthang,v,"/mag-, -un/to shoot to death, to firea | gun. Ginlúthang kuangmanúk . Ishot the | chicken.",,L,MotusDictionary
lútu,v,"/mag-, -an/to mourn, to wear theblack",,L,MotusDictionary
mourning,unknown,"attire. | lútu’ n cooked food, prepared food.",,L,MotusDictionary
lútus,v,"/-un/ to surpass, to outdo, to runafter, to | defeat. Ginlútus ni Pédro si Vicénte sa",,L,MotusDictionary
compassion,unknown,for. Nalu’úyan kusi Ester . I,,L,MotusDictionary
feelsorry,unknown,for Ester .,,L,MotusDictionary
luwág,n,"ladle, anative deep-bowled spoon used in",,L,MotusDictionary
cooking,unknown,made from hard skin of the,,L,MotusDictionary
luwás,unknown,"con aside from, except, outside of.",,L,MotusDictionary
