word,part_of_speech,definitions,examples,section,source
1-an,unknown,"va in finitive, benefactive-locative focus affix.",,A,MotusDictionary
Gústo,unknown,kusultán si José. Iwould liketo,,A,MotusDictionary
write,unknown,to Jose.; proposed action affix of this | verb. Sulatán kusi José. Iwillwrite to,Jose.; imperative action affix of thisverb.,A,MotusDictionary
Sulatan,unknown,musi José. Youwrite to Jose.,,A,MotusDictionary
2-an,unknown,va verbal affix designating reciprocity of | action. Nagkita’áy silá. They saweach,,A,MotusDictionary
other,unknown,.,,A,MotusDictionary
3-an,unknown,na noun formative affix designating a,,A,MotusDictionary
container,unknown,oraplace where anaction | occurs. Nagsugál kamí sasugálan . We,,A,MotusDictionary
gambled,unknown,in thegambling den.,,A,MotusDictionary
anák,n,child. A,,A,MotusDictionary
begodparent,unknown,to achild during baptism or | confirmation. Nag’anák si Lucille sa,,A,MotusDictionary
búnyag,unknown,. Lucille sto od asagodmother fora,,A,MotusDictionary
baptism,unknown,ceremony .,,A,MotusDictionary
1-anan,unknown,na noun formative affix denoting reciprocal | action. Táman ka’ínit angsumbagánay sa | síni. Theboxing episode in thefilmwas,,A,MotusDictionary
very,unknown,in tense.; noun formative affix,,A,MotusDictionary
designating,unknown,acontainer oraplace.,,A,MotusDictionary
Butangánan,unknown,iná’sang mangá líbro. Those | arebookshelves.,,A,MotusDictionary
2-anan,unknown,va verbal affix designating reciprocity of | action. Nagsumbagánay silá. They boxed,,A,MotusDictionary
each,unknown,other .,,A,MotusDictionary
anád,adj,"usual, sophisticated, accusto med to.",,A,MotusDictionary
familiar,unknown,through experience. Na’ánad akú | mag’inúm sang tsa. Iamused to drinking | tea.,,A,MotusDictionary
ánay,unknown,"pt please, wait aminute. Hulat ánay . Please",,A,MotusDictionary
wait,unknown,aminute.,,A,MotusDictionary
-ánay,unknown,na variant of-ánan .,,A,MotusDictionary
ánaw,n,"deluge, great flood.",,A,MotusDictionary
ándam,v,"/mag-,-un/ to becautious, to becareful, to | beware, to beprepared. Nag’ámdam sa",,A,MotusDictionary
pagmaného,unknown,si Pedro. Pedro wascautious,,A,MotusDictionary
with,unknown,hisdriving.,,A,MotusDictionary
andámyu,n,gangplank.,,A,MotusDictionary
ándar,v,"/mag-/ to function, to work. Nag’ándar ang",,A,MotusDictionary
motor,unknown,. Themoto r worked. HILIGA YNON DICTIONAR Y,,A,MotusDictionary
anhíng,adj,"late, departed, living comparatively",,A,MotusDictionary
recently,unknown,.,,A,MotusDictionary
áni,n,"harvest, produce.",,A,MotusDictionary
aningál,v,"/mag-,-un/ to have thedelusion of hearing",,A,MotusDictionary
afamiliar,unknown,sound. Gin’aningál nyaang,,A,MotusDictionary
tíngug,unknown,nínánay . Sheseemed to hear | mother’s voice.,,A,MotusDictionary
ántes,adv,"earlier , before, in advance, previously .",,A,MotusDictionary
antígu,v,"/mag-/ to know , to beknowledgeable.",Nag’antígu akúmagmaného sang kótse . I,A,MotusDictionary
learned,unknown,"how to drive acar. | ánting’ánting n amulet, talisman.",,A,MotusDictionary
antipatikú,adj,"unsympathetic, settled aversion.",,A,MotusDictionary
ántud,adj,"/ma-/ fetid, of odor, burnt.",,A,MotusDictionary
ántus,v,"/mag-,-un/ to bear, to suffer , to endure.",Nag’ántus akúsang kapobréhan . Isuffered,A,MotusDictionary
through,unknown,poverty .,,A,MotusDictionary
antyúhus,n,"spectacles, eyeglasses.",,A,MotusDictionary
anu,unknown,pr what. Anúiní?What isthis?,,A,MotusDictionary
ánud,v,"/mag-,-un/ to drift, to flow with thecurrent.",,A,MotusDictionary
Ginánud,unknown,angbaláy pagbahá ’. Thehouse,,A,MotusDictionary
wastowed,unknown,away during theflood.,,A,MotusDictionary
